orderId,customerId,date,category,quantity,price,total
O1001,C008,2024-02-04,music,2,102.99,205.98
O1002,C005,2024-03-07,electronics,3,9.99,29.97
O1003,C002,2024-04-10,toys,4,106.99,427.96
O1004,C009,2024-05-13,garden,1,13.99,13.99
O1005,C006,2024-06-16,books,2,110.99,221.98
O1006,C003,2024-07-19,music,3,17.99,53.97
O1007,C010,2024-08-22,electronics,4,114.99,459.96
O1008,C007,2024-09-25,toys,1,21.99,21.99
O1009,C004,2024-10-28,garden,2,118.99,237.98
O1010,C001,2024-11-03,books,3,25.99,77.97
O1011,C008,2024-12-06,music,4,122.99,491.96
O1012,C005,2024-01-09,electronics,1,29.99,29.99
O1013,C002,2024-02-12,toys,2,126.99,253.98
O1014,C009,2024-03-15,garden,3,33.99,101.97
O1015,C006,2024-04-18,books,4,130.99,523.96
O1016,C003,2024-05-21,music,1,37.99,37.99
O1017,C010,2024-06-24,electronics,2,134.99,269.98
O1018,C007,2024-07-27,toys,3,41.99,125.97
O1019,C004,2024-08-02,garden,4,138.99,555.96
O1020,C001,2024-09-05,books,1,45.99,45.99
O1021,C008,2024-10-08,music,2,142.99,285.98
O1022,C005,2024-11-11,electronics,3,49.99,149.97
O1023,C002,2024-12-14,toys,4,146.99,587.96
O1024,C009,2024-01-17,garden,1,53.99,53.99
O1025,C006,2024-02-20,books,2,150.99,301.98
O1026,C003,2024-03-23,music,3,57.99,173.97
O1027,C010,2024-04-26,electronics,4,154.99,619.96
O1028,C007,2024-05-01,toys,1,61.99,61.99
O1029,C004,2024-06-04,garden,2,158.99,317.98
O1030,C001,2024-07-07,books,3,65.99,197.97
